-6212,-4048,-18300,-20974,-3829,-23709,-13772,13208,-25508,17177,-2038,29369,6352,-16420,3448,5649,1929,-196
-7520,-680,-25572,-32768,5175,-26728,-13744,7796,-16836,20188,10375,21012,5904,-18108,4100,2729,1029,-247
-10948,3172,-31432,-32768,13412,-23448,-16112,8264,-28708,25353,14779,21892,7544,-19540,2900,-2938,1931,-244
-15100,7156,-32288,-32768,13701,-15649,-17344,6772,-31096,16861,22757,14008,5520,-22096,3496,-8055,1712,-1763
-19328,10480,-31764,-32768,16934,744,-17908,2488,-31524,19198,29303,12386,5796,-24300,1804,-10743,-4011,-1591
-18904,12784,-26492,-32768,15839,11627,-17388,-1256,-32392,19041,30510,11189,8288,-28160,-2748,-10348,-7820,-1064
-10796,22912,-25056,-32768,6335,11602,-9348,-13660,-32424,20662,32767,-4621,6244,-32232,-316,-10794,-8936,137
-9584,19312,-19792,-32768,709,10150,-6156,-12640,-22888,20954,29632,-9706,10360,-31820,-4276,-7777,-6476,-980
-8408,9628,-10772,-27916,-2502,19423,-3448,-7104,-10296,12823,24162,-17248,9248,-26544,-988,-6245,-3671,525
-4984,7668,-1408,-22871,481,18212,1260,-7660,-2720,3256,23473,-16059,4948,-12848,1300,-6521,2352,327
-6200,4924,-3268,-22018,-1902,7704,-896,-11100,-3108,2844,19053,-20506,2748,-3912,1488,-1670,1807,3562
-5412,3808,-13188,-10007,-360,27665,-5964,-8076,-8376,5854,15681,-18814,832,80,-976,1593,1658,7119
-10592,4776,-10948,-23984,-5434,22969,-6524,-5664,-9284,8660,14557,-19174,7220,-832,1640,-1220,-479,4108
-5040,756,-6540,-21431,-2285,30839,-4928,-304,-8868,6570,17484,-21004,2392,-236,-2744,-2130,2444,-641
4996,-7668,-5964,-26831,-3794,20989,-1548,4600,-2804,6503,21159,-19330,4408,-12468,-1756,-875,5330,87
-7520,-680,-25572,-32768,5175,-26728,-13744,7796,-16836,20188,10375,21012,5904,-18108,4100,2729,1029,-247
-10948,3172,-31432,-32768,13412,-23448,-16112,8264,-28708,25353,14779,21892,7544,-19540,2900,-2938,1931,-244
-15100,7156,-32288,-32768,13701,-15649,-17344,6772,-31096,16861,22757,14008,5520,-22096,3496,-8055,1712,-1763
-19328,10480,-31764,-32768,16934,744,-17908,2488,-31524,19198,29303,12386,5796,-24300,1804,-10743,-4011,-1591
-18904,12784,-26492,-32768,15839,11627,-17388,-1256,-32392,19041,30510,11189,8288,-28160,-2748,-10348,-7820,-1064
-14168,13916,-21536,-28375,9442,15547,-14472,-4968,-26152,16368,28755,5736,7996,-27320,-4228,-8619,-4061,-1591
-8984,10580,-10984,-20632,8210,17471,-7784,-5184,-18220,15969,26198,4769,5852,-22724,-1340,-7455,-4720,359
-824,12324,-2048,-15694,12434,13699,2260,-5176,-12112,3367,24305,-4219,3744,-7420,768,-4624,-2728,1889
-3972,12268,-2108,-25804,9846,7433,-1360,-9788,-12748,6530,28990,-4328,1636,-1396,2064,-2173,-1507,2690
-9204,11692,-6456,-25591,3708,17744,-5496,-10720,-14176,9569,29688,-8949,2196,-444,552,2076,1895,4618
-10548,13284,-8988,-26867,1628,19363,-9108,-9928,-16412,10713,29687,-14085,3300,-720,1276,1661,-3503,2168
-8752,13756,-7664,-21369,547,22455,-4724,-15412,-19600,23821,22656,-6515,-812,-456,-1852,1377,-4168,3251
-8916,10668,-16108,-12417,-2958,27990,-7604,-5352,-18724,29213,16162,-18636,6564,-22952,-6324,-3775,2973,1480
-160,2720,-8452,-32573,-1383,25485,4300,5464,-6776,22451,20979,-28580,7636,-32768,-9120,-16057,10424,-6666
6220,-19464,4612,-25803,-12118,32709,4088,14480,1028,11893,18024,-31518,3192,-17000,-10076,-7196,14173,4613
21560,-23276,14412,-25230,-1852,14950,2232,27284,10744,31294,18230,-13167,3292,-17576,-8332,-56,4983,2382
19236,-32768,3228,-16145,-18873,11690,4084,32767,17452,-10696,7387,-13574,5884,-21012,-9504,-1244,-8334,-3893
19740,-30780,-2012,17873,3529,-8777,1480,26696,13904,-11783,-1165,6730,6484,-18516,-9124,-929,-3988,452
13400,-23864,2472,22794,6305,-23012,2204,20344,13132,-20520,-8100,11699,5804,-24156,-8456,4127,3961,-936
5424,-7924,1368,30436,9825,-27655,900,8400,13420,-17868,-15320,13215,8620,-31340,-9824,4315,-957,-3303
-6732,-11860,2996,23763,-4199,-30230,-8244,3468,4012,-18878,-23639,10740,6460,-22244,-7096,788,-5398,-4287
-19840,-228,-15480,32767,-8165,-20880,-17032,-3772,-15312,-24187,-32768,12557,-32,-6748,484,922,-765,2030
-16216,8744,-19884,32767,-14450,-11425,-16188,-11808,-20948,-32768,-32768,4644,-252,-1104,3812,9332,1732,5862
-14020,8368,-20216,22919,-15920,-8510,-12556,-11224,-21784,-11294,-32768,-1415,3352,-2120,424,10266,-1207,4192
-5148,6864,-15436,19621,-18172,1460,-1220,-984,-20552,-7703,-32768,-6611,3564,-1624,-536,6042,1334,-729
1468,11408,-18108,16819,-18374,4997,-2444,-6048,-23188,-4264,-31563,-10975,3492,-1780,-932,3189,-47,-4184
3528,11120,-25452,15868,-23457,6207,-2228,10508,-32768,-118,-32768,-17925,7800,-31412,-15292,2579,2135,-6610
284,8568,-32680,15412,-30985,761,284,8568,-32680,15412,-30985,761,23956,-32768,10032,379,-11611,-2639
-520,6812,-32360,17446,-29995,1920,-11056,2888,-30960,-2845,-32768,-20866,8636,-20548,-5356,9883,-6043,-1445
-2812,-904,-32768,21627,-28994,11582,-17736,2880,-32648,696,-30878,-16666,6420,-12740,-2480,10300,-1045,3594
612,-1500,-32272,20998,-28450,10901,-10444,9148,-28484,-19558,-32768,-32574,6348,-15976,-4568,-4297,10235,-396
408,88,-25972,11189,-28480,5803,-15360,2576,-8320,-2316,-17373,-20865,2664,-17360,7124,-6260,9041,-1098
-8680,1260,-19380,-13041,251,-29654,-2612,-5684,-23080,-32768,11366,-20255,4204,-17956,1724,2142,4229,3000
-5116,3804,-16652,-3137,-14154,6686,-10336,8512,-14456,20064,-12156,3773,3972,-14956,-1872,4349,4847,3435
-6324,-2396,-13680,-15315,14361,-22551,-10904,8832,-9000,14353,11389,17446,2564,-15116,-100,2957,-296,1176
4996,-7668,-5964,-26831,-3794,20989,-1548,4600,-2804,6503,21159,-19330,4408,-12468,-1756,-875,5330,87
13364,-32768,10708,-32768,-6274,16188,2908,24420,26804,32767,23078,-2292,1052,-32768,-2352,6445,2436,-9906
20196,-32768,4616,-14934,-18185,1114,-4692,32716,21480,-1327,3019,-12491,5772,-18988,-4236,2727,-3605,1459
22528,-32768,2476,7679,-13423,-7250,5888,25628,12684,-9980,-17455,466,10068,-23200,-3924,-83,2973,1111
17244,-18344,-7448,25707,3326,-6887,4312,19996,7308,-3647,-12585,9606,5552,-20876,-3740,-443,2074,-1940
9868,-11468,-4384,25639,-1924,-21763,-200,12672,648,-10943,-17842,13833,4120,-14876,-2348,-2146,273,-656
3688,-8472,-2540,24166,273,-22602,-1996,6588,-2772,-12000,-17919,22700,5412,-12716,-3532,1201,-2814,-828
-8772,-9108,-1036,32767,-680,-1961,-2784,-1536,-8692,-13352,-17049,29192,4384,-10284,-908,4400,-3589,-64
9108,4352,-30108,32767,-11465,2618,5672,-6476,-9504,-18283,-17287,23763,5452,-11356,-2792,7201,2315,-743
13048,19660,-10160,17357,-16181,-18446,10224,-14348,-18032,-27348,-23547,11147,5064,-32768,-836,4928,-939,-4208
3552,14784,-11188,26031,-9311,-14352,252,-19072,-21848,-9090,-25820,12281,14760,-32768,-3844,-12263,-18533,-5984
-9568,9056,-26480,29774,-29433,-8635,-11624,-10624,-27128,-16713,-32768,9889,8900,-17288,-5724,-10943,5234,3382
-6844,15172,-24084,32767,-23086,-5961,-6648,-12796,-22400,-12721,-32768,4756,680,-7152,4184,4827,14548,7017
-1904,10048,-18404,31371,-24797,-2817,-5960,-7316,-18292,-6384,-32768,-7021,-352,332,416,12980,14692,6002
3404,3936,-17080,20922,-29530,4127,1464,-6852,-11924,-10005,-32768,-12193,9012,1232,-6032,12005,13592,8993
3692,8972,-16120,15692,-22909,5456,1244,796,-23216,-8103,-32768,-9875,2536,1760,3992,14973,4342,10683
-8132,3612,-30252,16629,-23488,16770,-12916,-2256,-28964,-12127,-29672,-14159,2308,-28892,-1136,4415,-2784,-1207
-12576,-7476,-32768,15048,-27294,20185,-25804,1492,-32768,-30181,-32768,-20849,-2140,-32768,32767,-32768,-29062,-14966
-7364,-4468,-26620,2717,-29459,14977,-17912,6980,-20888,-12187,-23484,-8595,13260,-18504,-14320,4586,-4927,-1762
-8456,-3196,-20556,13801,-15625,21317,-14512,6080,-13664,-28895,11452,-13905,928,-14380,4980,12898,1436,7197
6484,-6592,-9884,32767,21605,31921,-13084,2660,-9364,3744,-1470,-3794,4436,-13060,-1268,-1853,-8973,2137
-8468,-5384,-11512,16242,842,20215,-12124,1344,-8068,1812,3480,1229,6724,-18576,2820,-3027,-4055,-338
3128,24208,-2704,-32442,8995,-19483,-14292,-1152,-7680,-944,7265,2385,3608,-17876,1920,269,3298,1083
7460,4000,32767,16564,-28595,-10323,-17080,-3396,-7584,2711,4639,3423,2536,-16988,-148,1363,2505,1623
-20396,2920,-32696,-12889,3678,-14239,-15524,-452,-7524,7644,1737,2508,8880,-15988,-1388,1146,-204,1599
-6312,-11272,-968,-11124,-8131,-7530,-13816,-508,-7072,2100,1725,530,2688,-16628,1524,-476,-160,-249
-8548,-3372,-11932,-10415,-3918,-14137,-12384,1316,-8944,4035,-4090,1854,2984,-15200,520,2221,1425,562
-4976,-1728,-13288,-20179,-3457,-22815,-10124,160,-9144,13989,-1769,9131,3324,-14636,884,4249,596,-222
-7376,412,-19228,-32107,1435,-26760,-7448,2560,-19292,26737,3688,15727,2912,-12544,1048,3902,2834,-1054
-6364,3052,-21808,-32768,6049,-17546,-7624,972,-28052,26819,14583,12267,5392,-12564,2188,2640,1158,-180
-12428,14764,-26992,-32768,19511,-3797,-10860,-4604,-32768,23107,30173,5571,3768,-16296,3364,-3559,-816,-2500
-13472,22144,-31436,-32768,12040,2219,-11856,-10716,-32768,19934,32767,1397,3472,-17340,2812,-4686,1379,-2319
-16272,30732,-28504,-32768,15841,9325,-16424,-22632,-32768,24277,32767,-6516,4492,-21416,-4448,-11281,-2637,-2999
-28540,32767,-28668,-32768,9712,16869,-21904,-16416,-32768,-1551,32767,-4086,7392,-31312,-1896,-13254,-6652,-2369
-19972,25924,-17780,-32768,6333,24795,-17784,-14564,-29596,21624,32767,-11867,8392,-32768,-6444,-9015,3494,-4117
-14312,8836,-11924,-29598,-1865,30334,-13276,-8652,-15372,10208,32767,-20010,5940,-26492,-2112,-7911,-572,1501
-2092,5304,-616,-15672,1638,29752,-4788,-4132,-5056,10470,29077,-23015,5056,-14000,-68,-6599,-426,1731
-6472,5424,-6856,-17347,5223,12469,-4748,-8152,-2188,4205,21515,-15608,200,-4400,2076,-1866,4588,2174
-8748,644,-10740,-10923,5734,20550,-9732,-4596,-8360,5861,15528,-17228,1300,568,680,2954,-512,4869
-9664,304,-13596,-17767,2737,26432,-11224,-3696,-9588,8296,17371,-19787,3376,12,-520,2063,-173,2392
-6880,-1168,-10416,-18716,5513,27435,-10004,224,-6864,2230,20142,-21644,3464,480,-420,3135,1267,-452
88,-8808,-2768,-22876,8199,23271,-4536,8476,456,2954,22712,-17438,804,-3020,-980,-43,2716,2415
7932,-29972,15816,-32768,-1806,9890,756,17100,26380,32767,27457,4073,10088,-23476,-652,4184,2643,-2332
11272,-27216,16408,-1617,163,8965,4592,23572,21492,-2875,-2635,-5644,3560,-32768,2368,6642,-3477,-5462
-12428,14764,-26992,-32768,19511,-3797,-10860,-4604,-32768,23107,30173,5571,3768,-16296,3364,-3559,-816,-2500
-13472,22144,-31436,-32768,12040,2219,-11856,-10716,-32768,19934,32767,1397,3472,-17340,2812,-4686,1379,-2319
-16272,30732,-28504,-32768,15841,9325,-16424,-22632,-32768,24277,32767,-6516,4492,-21416,-4448,-11281,-2637,-2999
-28540,32767,-28668,-32768,9712,16869,-21904,-16416,-32768,-1551,32767,-4086,7392,-31312,-1896,-13254,-6652,-2369
-19972,25924,-17780,-32768,6333,24795,-17784,-14564,-29596,21624,32767,-11867,8392,-32768,-6444,-9015,3494,-4117
-14312,8836,-11924,-29598,-1865,30334,-13276,-8652,-15372,10208,32767,-20010,5940,-26492,-2112,-7911,-572,1501
-4492,-6336,-6056,32767,-30211,-16383,-8748,3876,-17288,-32768,-32768,-5179,3304,-4620,-1200,-2998,3371,2259
-12536,10016,32767,32767,-16466,7916,-11124,-13328,-18492,-26276,-32768,2873,1064,-1716,3320,4843,7666,5464
-11340,4524,-19500,19220,-25303,-13800,-7760,-4060,-18392,-426,-32768,5209,2332,-1576,2252,7085,1978,4811
-5752,9340,-17708,14806,-22182,-4391,-3996,-4964,-17788,2638,-32768,145,2312,-1132,1084,7258,2381,1888
-2152,11200,-21152,12093,-24351,-429,-4500,-3172,-21208,2572,-30478,-5073,3348,-2964,-1836,6846,3860,-3
-1620,10672,-29444,15720,-30927,-2070,-5264,388,-32768,2182,-32768,-7044,11352,-32768,-16520,6661,3348,-2092
11352,-32768,-16520,6661,3348,-2092,11352,-32768,-16520,6661,3348,-2092,11352,-32768,-16520,6661,3348,-2092
56,10564,-32768,26343,-24916,6329,-9164,680,-32768,-3557,-32768,-16987,-3128,-13196,-2584,2772,7781,6069
-9324,4912,-31956,-2351,-32768,-4220,-18372,3652,-31672,-7557,-32194,-17202,6508,-16388,3768,7864,-56,6667
-9304,10952,-29348,22168,-21814,4489,-15716,-536,-22440,-22666,-27943,-24800,4096,-18916,192,-1208,-5518,-2532
-5500,1928,-21280,16413,-31661,8549,-14212,3820,-16396,-4499,-13447,-24427,4036,-15720,3036,-5333,4316,-114
-8684,3204,-14348,17713,-9438,12044,-16892,18136,-26956,-31169,-7631,-18592,3744,-17044,3004,87,2557,1533
-19860,8680,-6924,20574,-5481,-1742,-12968,-8076,-11092,-25501,6302,-15277,8028,-17208,1200,2755,-1954,1451
-13408,-6308,684,9364,-14613,608,-15656,2660,-5524,11498,-371,-4191,3724,-16892,892,-2221,-467,-195
-12848,-1696,-9300,-1757,458,966,-14072,3532,-8764,7408,5751,4405,4464,-17632,1464,288,-997,-169
-12204,-2560,-9176,-2025,3956,-3947,-15420,124,-7564,2707,-6,6224,4388,-16852,1492,551,-205,-239
-11412,-4076,-10568,-1794,4560,-7553,-14636,728,-8484,11745,-3862,10592,4196,-16460,1720,315,860,-62
-9764,-4040,-11920,-3987,2919,-11642,-16276,-1580,-10276,24735,-5678,16450,4240,-16244,1980,1197,1023,-630
-8268,-4148,-14400,-9923,3975,-16095,-13860,656,-11824,19338,-2214,16418,3784,-15880,2148,2130,1292,-103
-5276,2684,-18340,-28122,6789,-13162,-8640,-792,-15180,32767,4581,24889,2264,-12716,2688,1709,3457,481
-3380,5968,-21652,-32768,11775,-15815,-8056,560,-28164,32767,24774,19412,3952,-11612,2728,1149,1659,291
-4716,24440,-24692,-32768,27855,-16236,-8224,-5396,-30892,19101,32767,6664,4204,-12404,3904,-1726,-1091,-1208
-12660,16620,-28900,-32768,24249,-7228,-13660,-13048,-32768,15110,32767,354,2028,-15080,8656,-4312,1442,-1408
-17892,25456,-30004,-32320,24278,5981,-17248,-18040,-32768,18106,32767,-5132,2568,-17548,3576,-7618,-1335,-2696
-15780,24416,-32768,-32768,11048,7770,-18200,-22628,-32768,31844,32767,-1844,5976,-26400,144,-9450,-6320,-1389
-16424,22684,-32188,-32768,7110,13641,-15764,-18116,-29484,20183,32767,-10859,9084,-32768,-6088,-12779,-2556,-3282
-8408,16452,-17520,-32768,1528,19385,-8416,-10064,-15116,13503,25051,-21811,10828,-30284,-7984,-6193,3999,1015
-4440,5876,-4704,-22975,2956,20190,-2296,-12712,-5964,-331,24626,-23555,6188,-23256,-976,-3430,6132,-3062
-2888,4364,-6532,-21690,-2551,14346,-3844,-8360,-4608,11678,22405,-15266,2968,-9468,-176,-4491,1956,233
-7888,8288,-9900,-22768,1793,9775,-9264,-6012,-5612,7002,13426,-17948,-32,-1888,1740,-1686,3855,4943
-11412,-4076,-10568,-1794,4560,-7553,-14636,728,-8484,11745,-3862,10592,4196,-16460,1720,315,860,-62
-9764,-4040,-11920,-3987,2919,-11642,-16276,-1580,-10276,24735,-5678,16450,4240,-16244,1980,1197,1023,-630
-8268,-4148,-14400,-9923,3975,-16095,-13860,656,-11824,19338,-2214,16418,3784,-15880,2148,2130,1292,-103
-5276,2684,-18340,-28122,6789,-13162,-8640,-792,-15180,32767,4581,24889,2264,-12716,2688,1709,3457,481
-3380,5968,-21652,-32768,11775,-15815,-8056,560,-28164,32767,24774,19412,3952,-11612,2728,1149,1659,291
-4716,24440,-24692,-32768,27855,-16236,-8224,-5396,-30892,19101,32767,6664,4204,-12404,3904,-1726,-1091,-1208
-12660,16620,-28900,-32768,24249,-7228,-13660,-13048,-32768,15110,32767,354,2028,-15080,8656,-4312,1442,-1408
